No model found.
Episode 143 | Total reward: -5.3500000000000005 | Epsilon: 0.09940
Episode 144 | Total reward: 3.23 | Epsilon: 0.09939
Episode 145 | Total reward: -1.8800000000000001 | Epsilon: 0.09939
Episode 146 | Total reward: -2.0500000000000003 | Epsilon: 0.09938
Episode 147 | Total reward: -2.2 | Epsilon: 0.09938
Episode 148 | Total reward: -1.7000000000000004 | Epsilon: 0.09937
Episode 149 | Total reward: -1.86 | Epsilon: 0.09937
Episode 150 | Total reward: -1.7000000000000002 | Epsilon: 0.09936
Episode 151 | Total reward: -2.0200000000000005 | Epsilon: 0.09936
Episode 152 | Total reward: -2.0900000000000003 | Epsilon: 0.09935
Episode 153 | Total reward: -1.7300000000000002 | Epsilon: 0.09935
Episode 154 | Total reward: -1.8300000000000003 | Epsilon: 0.09934
Episode 155 | Total reward: -2.2 | Epsilon: 0.09934
Episode 156 | Total reward: -1.7100000000000002 | Epsilon: 0.09933
Episode 157 | Total reward: -1.7900000000000003 | Epsilon: 0.09933
Episode 158 | Total reward: -2.0100000000000002 | Epsilon: 0.09932
Episode 159 | Total reward: -2.1100000000000003 | Epsilon: 0.09932
Episode 160 | Total reward: -5.42 | Epsilon: 0.09931
Episode 161 | Total reward: -2.0400000000000005 | Epsilon: 0.09931
Episode 162 | Total reward: -1.9800000000000002 | Epsilon: 0.09930
Episode 163 | Total reward: -5.45 | Epsilon: 0.09930
Episode 164 | Total reward: -1.7400000000000002 | Epsilon: 0.09929
Episode 165 | Total reward: -1.7400000000000002 | Epsilon: 0.09929
Episode 166 | Total reward: -2.1700000000000004 | Epsilon: 0.09928
Episode 167 | Total reward: -2.0000000000000004 | Epsilon: 0.09928
Episode 168 | Total reward: -5.4 | Epsilon: 0.09927
Episode 169 | Total reward: -5.38 | Epsilon: 0.09927
Episode 170 | Total reward: -1.9800000000000002 | Epsilon: 0.09927
Episode 171 | Total reward: -1.6900000000000004 | Epsilon: 0.09926
Episode 172 | Total reward: -5.29 | Epsilon: 0.09926
Episode 173 | Total reward: -2.18 | Epsilon: 0.09925
Episode 174 | Total reward: -1.6800000000000002 | Epsilon: 0.09925
Episode 175 | Total reward: -1.6800000000000002 | Epsilon: 0.09924
Episode 176 | Total reward: -1.82 | Epsilon: 0.09924
Episode 177 | Total reward: -1.86 | Epsilon: 0.09923
Episode 178 | Total reward: -1.86 | Epsilon: 0.09923
Episode 179 | Total reward: -1.7000000000000002 | Epsilon: 0.09922
Episode 180 | Total reward: -1.6600000000000001 | Epsilon: 0.09922
Episode 181 | Total reward: -1.7500000000000002 | Epsilon: 0.09921
Episode 182 | Total reward: -1.7600000000000002 | Epsilon: 0.09921
Episode 183 | Total reward: -2.0200000000000005 | Epsilon: 0.09920
Episode 184 | Total reward: -1.7500000000000002 | Epsilon: 0.09920
Episode 185 | Total reward: -1.8700000000000003 | Epsilon: 0.09919
Episode 186 | Total reward: -1.6900000000000004 | Epsilon: 0.09919
Episode 187 | Total reward: -1.6500000000000001 | Epsilon: 0.09918
Episode 188 | Total reward: -1.9900000000000002 | Epsilon: 0.09918
Episode 189 | Total reward: -2.0100000000000002 | Epsilon: 0.09917
Episode 190 | Total reward: -1.9500000000000002 | Epsilon: 0.09917
Episode 191 | Total reward: -1.8300000000000003 | Epsilon: 0.09916
Episode 192 | Total reward: -1.7000000000000002 | Epsilon: 0.09916
Episode 193 | Total reward: -1.7300000000000002 | Epsilon: 0.09915
Episode 194 | Total reward: -1.7800000000000002 | Epsilon: 0.09915
Episode 195 | Total reward: -1.9100000000000004 | Epsilon: 0.09914
Episode 196 | Total reward: -1.6600000000000001 | Epsilon: 0.09914
Episode 197 | Total reward: -1.8700000000000003 | Epsilon: 0.09913
Episode 198 | Total reward: -1.7700000000000002 | Epsilon: 0.09913
Episode 199 | Total reward: -1.9700000000000002 | Epsilon: 0.09912
Episode 200 | Total reward: -1.8700000000000003 | Epsilon: 0.09912
Episode 201 | Total reward: -2.1700000000000004 | Epsilon: 0.09911
Episode 202 | Total reward: -1.9400000000000002 | Epsilon: 0.09911
Episode 203 | Total reward: -1.7000000000000002 | Epsilon: 0.09910
Episode 204 | Total reward: -1.9900000000000002 | Epsilon: 0.09910
Episode 205 | Total reward: -5.42 | Epsilon: 0.09909
