Episode 170 | Total reward: 17.744988281249988 | Epsilon: 0.09379
Episode 171 | Total reward: 16.378328124999996 | Epsilon: 0.09374
Episode 172 | Total reward: 15.782597656250005 | Epsilon: 0.09370
Episode 173 | Total reward: 17.982066406250002 | Epsilon: 0.09366
Episode 174 | Total reward: 16.17244921875 | Epsilon: 0.09361
Episode 175 | Total reward: 13.080082031249994 | Epsilon: 0.09357
Episode 176 | Total reward: 10.72432031249999 | Epsilon: 0.09354
Episode 177 | Total reward: 16.650101562500005 | Epsilon: 0.09349
Episode 178 | Total reward: 11.525718749999996 | Epsilon: 0.09345
Episode 179 | Total reward: 15.267695312500003 | Epsilon: 0.09341
Episode 180 | Total reward: 12.560386718749989 | Epsilon: 0.09337
Episode 181 | Total reward: 9.448976562499997 | Epsilon: 0.09334
Episode 182 | Total reward: 8.6971953125 | Epsilon: 0.09331
Episode 183 | Total reward: 17.72609375 | Epsilon: 0.09327
Episode 184 | Total reward: 11.25371875 | Epsilon: 0.09323
Episode 185 | Total reward: 17.128769531249997 | Epsilon: 0.09319
Episode 186 | Total reward: 13.888667968749996 | Epsilon: 0.09314
Episode 187 | Total reward: 13.781730468750002 | Epsilon: 0.09310
Episode 188 | Total reward: 17.660164062499998 | Epsilon: 0.09305
Episode 189 | Total reward: 9.071585937500007 | Epsilon: 0.09302
Episode 190 | Total reward: 19.3433828125 | Epsilon: 0.09297
Episode 191 | Total reward: 15.155585937500003 | Epsilon: 0.09293
Episode 192 | Total reward: 13.078207031249992 | Epsilon: 0.09288
Episode 193 | Total reward: 18.577757812500007 | Epsilon: 0.09284
Episode 194 | Total reward: 14.3029921875 | Epsilon: 0.09280
Episode 195 | Total reward: 9.201144531250002 | Epsilon: 0.09277
Episode 196 | Total reward: 12.835695312499993 | Epsilon: 0.09272
Episode 197 | Total reward: 13.79522265625 | Epsilon: 0.09268
Episode 198 | Total reward: 14.8847109375 | Epsilon: 0.09264
Episode 199 | Total reward: 19.160136718750007 | Epsilon: 0.09259
Episode 200 | Total reward: 11.725988281250004 | Epsilon: 0.09255
Episode 201 | Total reward: 16.17993359375 | Epsilon: 0.09250
Episode 202 | Total reward: 14.200890625000003 | Epsilon: 0.09246
Episode 203 | Total reward: 13.653859375000007 | Epsilon: 0.09242
Episode 204 | Total reward: 15.468480468749998 | Epsilon: 0.09237
Episode 205 | Total reward: 10.656011718750001 | Epsilon: 0.09234
Episode 206 | Total reward: 17.187101562500008 | Epsilon: 0.09230
Episode 207 | Total reward: 10.129542968750002 | Epsilon: 0.09227
Episode 208 | Total reward: 20.49493359375001 | Epsilon: 0.09221
Episode 209 | Total reward: 25.472242187499987 | Epsilon: 0.09216
Episode 210 | Total reward: 10.16221484375 | Epsilon: 0.09213
Episode 211 | Total reward: 13.232519531249988 | Epsilon: 0.09209
Episode 212 | Total reward: 16.935347656249995 | Epsilon: 0.09204
Episode 213 | Total reward: 21.040308593750005 | Epsilon: 0.09199
Episode 214 | Total reward: 12.067683593750004 | Epsilon: 0.09195
Episode 215 | Total reward: 17.684394531249996 | Epsilon: 0.09190
Episode 216 | Total reward: 20.889296874999996 | Epsilon: 0.09184
Episode 217 | Total reward: 11.971749999999997 | Epsilon: 0.09180
Episode 218 | Total reward: 29.75448437499999 | Epsilon: 0.09174
Episode 219 | Total reward: 12.23069140625 | Epsilon: 0.09170
Episode 220 | Total reward: 10.779460937499998 | Epsilon: 0.09166
Episode 221 | Total reward: 10.77776171875 | Epsilon: 0.09163
Episode 222 | Total reward: 10.069742187500005 | Epsilon: 0.09160
Episode 223 | Total reward: 38.378515625000006 | Epsilon: 0.09154
Episode 224 | Total reward: 9.5006640625 | Epsilon: 0.09151
Episode 225 | Total reward: 10.880500000000005 | Epsilon: 0.09148
Episode 226 | Total reward: 8.188781249999998 | Epsilon: 0.09145
Episode 227 | Total reward: 20.625679687499996 | Epsilon: 0.09139
Episode 228 | Total reward: 30.384328124999993 | Epsilon: 0.09133
Episode 229 | Total reward: 9.493742187500004 | Epsilon: 0.09130
Episode 230 | Total reward: 39.274023437500006 | Epsilon: 0.09123
Episode 231 | Total reward: 17.846226562500014 | Epsilon: 0.09118
Episode 232 | Total reward: 18.002546875 | Epsilon: 0.09114
Episode 233 | Total reward: 33.42077734375 | Epsilon: 0.09108
Episode 234 | Total reward: 36.497749999999996 | Epsilon: 0.09102
Episode 235 | Total reward: 35.959687500000015 | Epsilon: 0.09096
Episode 236 | Total reward: 42.26860937500001 | Epsilon: 0.09089
Episode 237 | Total reward: 10.82057421875 | Epsilon: 0.09086
Episode 238 | Total reward: 39.41625390624999 | Epsilon: 0.09080
Episode 239 | Total reward: 38.358921874999986 | Epsilon: 0.09074
Episode 240 | Total reward: 11.046203124999998 | Epsilon: 0.09071
Episode 241 | Total reward: 31.973128906250007 | Epsilon: 0.09065
Episode 242 | Total reward: 25.814722656249998 | Epsilon: 0.09059
Episode 243 | Total reward: 32.5515 | Epsilon: 0.09053
Episode 244 | Total reward: 39.910406250000015 | Epsilon: 0.09047
Episode 245 | Total reward: 30.819164062500004 | Epsilon: 0.09041
Episode 246 | Total reward: 11.234304687499993 | Epsilon: 0.09038
Episode 247 | Total reward: 22.087039062500004 | Epsilon: 0.09032
Episode 248 | Total reward: 8.594207031249994 | Epsilon: 0.09029
Episode 249 | Total reward: 12.662472656250003 | Epsilon: 0.09025
Episode 250 | Total reward: 12.768507812499998 | Epsilon: 0.09021
Episode 251 | Total reward: 10.940980468749995 | Epsilon: 0.09018
Episode 252 | Total reward: 15.25328515624999 | Epsilon: 0.09014
Episode 253 | Total reward: 39.73492968750001 | Epsilon: 0.09008
Episode 254 | Total reward: 9.418347656249995 | Epsilon: 0.09004
Episode 255 | Total reward: 13.390406249999998 | Epsilon: 0.09000
Episode 256 | Total reward: 36.645121093749985 | Epsilon: 0.08994
Episode 257 | Total reward: 25.805824218750004 | Epsilon: 0.08989
Episode 258 | Total reward: 22.050410156250003 | Epsilon: 0.08984
Episode 259 | Total reward: 9.763136718750001 | Epsilon: 0.08981
Episode 260 | Total reward: 11.602410156249995 | Epsilon: 0.08977
Episode 261 | Total reward: 38.15860937499998 | Epsilon: 0.08971
Episode 262 | Total reward: 10.02821875 | Epsilon: 0.08968
Episode 263 | Total reward: 34.64622265625 | Epsilon: 0.08962
Episode 264 | Total reward: 14.294871093749997 | Epsilon: 0.08958
Episode 265 | Total reward: 37.90385546875001 | Epsilon: 0.08952
Episode 266 | Total reward: 44.472445312499985 | Epsilon: 0.08946
Episode 267 | Total reward: 44.59152343749999 | Epsilon: 0.08939
Episode 268 | Total reward: 21.48452734375 | Epsilon: 0.08934
Episode 269 | Total reward: 38.65786718750001 | Epsilon: 0.08928
Episode 270 | Total reward: 21.372480468749995 | Epsilon: 0.08923
Episode 271 | Total reward: 39.917007812499996 | Epsilon: 0.08917
Episode 272 | Total reward: 10.471859374999994 | Epsilon: 0.08914
Episode 273 | Total reward: 11.466824218749998 | Epsilon: 0.08911
Saved model at step 11600
Episode 274 | Total reward: 44.90466796874998 | Epsilon: 0.08904
Episode 275 | Total reward: 38.40414453125 | Epsilon: 0.08899
Episode 276 | Total reward: 35.743140624999995 | Epsilon: 0.08893
Episode 277 | Total reward: 13.390011718749996 | Epsilon: 0.08889
Episode 278 | Total reward: 48.53873046875 | Epsilon: 0.08882
Episode 279 | Total reward: 41.30222265624998 | Epsilon: 0.08876
Episode 280 | Total reward: 11.754214843749999 | Epsilon: 0.08873
Episode 281 | Total reward: 11.357101562499999 | Epsilon: 0.08870
Episode 282 | Total reward: 35.159562499999986 | Epsilon: 0.08864
Episode 283 | Total reward: 13.478417968750001 | Epsilon: 0.08860
Episode 284 | Total reward: 11.643160156249994 | Epsilon: 0.08857
Episode 285 | Total reward: 37.0913203125 | Epsilon: 0.08851
Episode 286 | Total reward: 15.168308593750002 | Epsilon: 0.08847
Episode 287 | Total reward: 39.335050781250004 | Epsilon: 0.08841
Episode 288 | Total reward: 34.4782734375 | Epsilon: 0.08835
Episode 289 | Total reward: 15.876054687500002 | Epsilon: 0.08830
Episode 290 | Total reward: 10.8361484375 | Epsilon: 0.08827
Episode 291 | Total reward: 41.837054687500014 | Epsilon: 0.08821
Episode 292 | Total reward: 31.558105468749996 | Epsilon: 0.08815
Episode 293 | Total reward: 39.43001562499999 | Epsilon: 0.08809
Episode 294 | Total reward: 10.544941406249997 | Epsilon: 0.08806
Episode 295 | Total reward: 44.5480546875 | Epsilon: 0.08800
Episode 296 | Total reward: 10.417625000000001 | Epsilon: 0.08797
Saved model at step 12900
Episode 297 | Total reward: 45.137644531250004 | Epsilon: 0.08790
Episode 298 | Total reward: 14.666695312499993 | Epsilon: 0.08786
Episode 299 | Total reward: 33.871867187499994 | Epsilon: 0.08780
Episode 300 | Total reward: 42.48923046875 | Epsilon: 0.08774
Episode 301 | Total reward: 16.207273437499996 | Epsilon: 0.08770
Episode 302 | Total reward: 39.288640625000006 | Epsilon: 0.08764
Episode 303 | Total reward: 38.1501328125 | Epsilon: 0.08758
Episode 304 | Total reward: 19.226093749999997 | Epsilon: 0.08754
Episode 305 | Total reward: 36.27994531249999 | Epsilon: 0.08748
Episode 306 | Total reward: 36.437749999999994 | Epsilon: 0.08742
Episode 307 | Total reward: 38.05423046875001 | Epsilon: 0.08736
Episode 308 | Total reward: 9.935789062499996 | Epsilon: 0.08733
Episode 309 | Total reward: 40.725765625 | Epsilon: 0.08727
Episode 310 | Total reward: 14.28663671875 | Epsilon: 0.08724
Episode 311 | Total reward: 11.314453125 | Epsilon: 0.08720
Episode 312 | Total reward: 16.0035078125 | Epsilon: 0.08716
Episode 313 | Total reward: 40.19747265625 | Epsilon: 0.08710
Episode 314 | Total reward: 32.437046874999986 | Epsilon: 0.08704
Episode 315 | Total reward: 40.25159765624999 | Epsilon: 0.08698
