No model found.
Episode 127 | Total reward: -2.1635937500000004 | Epsilon: 0.19964
Episode 128 | Total reward: -200.39 | Epsilon: 0.19963
Episode 129 | Total reward: -1.8159375000000002 | Epsilon: 0.19963
Episode 130 | Total reward: -200.17 | Epsilon: 0.19963
Episode 131 | Total reward: -1.8745312500000002 | Epsilon: 0.19963
Episode 132 | Total reward: -200.43 | Epsilon: 0.19962
Episode 133 | Total reward: -1.8471875000000002 | Epsilon: 0.19962
Episode 134 | Total reward: -2.1870312500000004 | Epsilon: 0.19962
Episode 135 | Total reward: -200.36 | Epsilon: 0.19961
Episode 136 | Total reward: -2.0190625000000004 | Epsilon: 0.19961
Episode 137 | Total reward: -1.9839062500000002 | Epsilon: 0.19961
Episode 138 | Total reward: -1.7378125000000002 | Epsilon: 0.19960
Episode 139 | Total reward: -1.8940625000000002 | Epsilon: 0.19960
Episode 140 | Total reward: -200.46 | Epsilon: 0.19960
Episode 141 | Total reward: -1.7690625000000002 | Epsilon: 0.19960
Episode 142 | Total reward: -200.43 | Epsilon: 0.19959
Episode 143 | Total reward: -200.45 | Epsilon: 0.19959
Episode 144 | Total reward: -1.8120312500000002 | Epsilon: 0.19959
Episode 145 | Total reward: -2.1675000000000004 | Epsilon: 0.19958
Episode 146 | Total reward: -200.41 | Epsilon: 0.19958
Episode 147 | Total reward: -200.46 | Epsilon: 0.19958
Episode 148 | Total reward: -200.46 | Epsilon: 0.19957
Episode 149 | Total reward: -1.9800000000000002 | Epsilon: 0.19957
Episode 150 | Total reward: -200.38 | Epsilon: 0.19957
Episode 151 | Total reward: -1.8354687500000002 | Epsilon: 0.19957
Episode 152 | Total reward: -200.38 | Epsilon: 0.19956
Episode 153 | Total reward: -200.41 | Epsilon: 0.19956
Episode 154 | Total reward: -2.0073437500000004 | Epsilon: 0.19956
Episode 155 | Total reward: -200.36 | Epsilon: 0.19956
Episode 156 | Total reward: -200.39 | Epsilon: 0.19955
Episode 157 | Total reward: -1.6879687500000002 | Epsilon: 0.19955
Episode 158 | Total reward: -200.46 | Epsilon: 0.19955
Episode 159 | Total reward: -200.4 | Epsilon: 0.19954
Episode 160 | Total reward: -200.43 | Epsilon: 0.19954
Episode 161 | Total reward: -1.8589062500000002 | Epsilon: 0.19954
Episode 162 | Total reward: -1.6796875000000002 | Epsilon: 0.19954
Episode 163 | Total reward: -2.0151562500000004 | Epsilon: 0.19953
Episode 164 | Total reward: -1.6892187500000002 | Epsilon: 0.19953
Episode 165 | Total reward: -1.9214062500000002 | Epsilon: 0.19953
Episode 166 | Total reward: -2.1284375000000004 | Epsilon: 0.19952
Episode 167 | Total reward: -2.0190625000000004 | Epsilon: 0.19952
Episode 168 | Total reward: -200.46 | Epsilon: 0.19952
Episode 169 | Total reward: -200.47 | Epsilon: 0.19951
Episode 170 | Total reward: -2.1206250000000004 | Epsilon: 0.19951
Episode 171 | Total reward: -2.1245312500000004 | Epsilon: 0.19951
Episode 172 | Total reward: -1.8081250000000002 | Epsilon: 0.19950
Episode 173 | Total reward: -200.43 | Epsilon: 0.19950
Episode 174 | Total reward: -1.9370312500000002 | Epsilon: 0.19950
Episode 175 | Total reward: -1.8237500000000002 | Epsilon: 0.19950
Episode 176 | Total reward: -1.7964062500000002 | Epsilon: 0.19949
Episode 177 | Total reward: -2.0776562500000004 | Epsilon: 0.19949
Episode 178 | Total reward: -200.37 | Epsilon: 0.19949
Episode 179 | Total reward: -200.37 | Epsilon: 0.19948
Episode 180 | Total reward: -200.17 | Epsilon: 0.19948
Episode 181 | Total reward: -2.0151562500000004 | Epsilon: 0.19948
Episode 182 | Total reward: -1.8393750000000002 | Epsilon: 0.19948
Episode 183 | Total reward: -1.9995312500000002 | Epsilon: 0.19947
Episode 184 | Total reward: -1.9917187500000002 | Epsilon: 0.19947
Episode 185 | Total reward: -1.7379687500000003 | Epsilon: 0.19947
Episode 186 | Total reward: -200.4 | Epsilon: 0.19946
Episode 187 | Total reward: -200.39 | Epsilon: 0.19946
Episode 188 | Total reward: -200.43 | Epsilon: 0.19946
Episode 189 | Total reward: -1.7104687500000002 | Epsilon: 0.19946
Episode 190 | Total reward: -1.8706250000000002 | Epsilon: 0.19945
Episode 191 | Total reward: -200.43 | Epsilon: 0.19945
Episode 192 | Total reward: -200.47 | Epsilon: 0.19945
Episode 193 | Total reward: -200.44 | Epsilon: 0.19944
Episode 194 | Total reward: -200.17 | Epsilon: 0.19944
Episode 195 | Total reward: -2.0112500000000004 | Epsilon: 0.19944
Episode 196 | Total reward: -2.0503125000000004 | Epsilon: 0.19944
Episode 197 | Total reward: -1.8081250000000002 | Epsilon: 0.19943
Episode 198 | Total reward: -200.4 | Epsilon: 0.19943
Episode 199 | Total reward: -200.41 | Epsilon: 0.19943
Episode 200 | Total reward: -200.43 | Epsilon: 0.19943
Episode 201 | Total reward: -2.1596875000000004 | Epsilon: 0.19942
Episode 202 | Total reward: -1.9565625000000002 | Epsilon: 0.19942
Episode 203 | Total reward: -200.47 | Epsilon: 0.19942
Episode 204 | Total reward: -200.48 | Epsilon: 0.19941
Episode 205 | Total reward: -200.38 | Epsilon: 0.19941
Episode 206 | Total reward: -1.7495312500000002 | Epsilon: 0.19941
Episode 207 | Total reward: -200.4 | Epsilon: 0.19941
Episode 208 | Total reward: -2.0425000000000004 | Epsilon: 0.19940
Episode 209 | Total reward: -2.1167187500000004 | Epsilon: 0.19940
Episode 210 | Total reward: -2.1557812500000004 | Epsilon: 0.19940
Episode 211 | Total reward: -200.35 | Epsilon: 0.19939
Episode 212 | Total reward: -200.45 | Epsilon: 0.19939
Episode 213 | Total reward: -200.48 | Epsilon: 0.19939
Episode 214 | Total reward: -1.7768750000000002 | Epsilon: 0.19938
Episode 215 | Total reward: -1.9917187500000002 | Epsilon: 0.19938
Episode 216 | Total reward: -200.17 | Epsilon: 0.19938
Episode 217 | Total reward: -1.8042187500000002 | Epsilon: 0.19938
Episode 218 | Total reward: -200.46 | Epsilon: 0.19937
Episode 219 | Total reward: -200.42 | Epsilon: 0.19937
Episode 220 | Total reward: -200.45 | Epsilon: 0.19937
Episode 221 | Total reward: -200.43 | Epsilon: 0.19937
Episode 222 | Total reward: -1.7657812500000003 | Epsilon: 0.19936
Episode 223 | Total reward: -200.44 | Epsilon: 0.19936
Episode 224 | Total reward: -200.41 | Epsilon: 0.19936
Episode 225 | Total reward: -200.41 | Epsilon: 0.19935
Episode 226 | Total reward: -2.2378125000000004 | Epsilon: 0.19935
Episode 227 | Total reward: -200.42 | Epsilon: 0.19935
Episode 228 | Total reward: -200.29 | Epsilon: 0.19935
Episode 229 | Total reward: -1.7885937500000002 | Epsilon: 0.19934
Episode 230 | Total reward: -200.29 | Epsilon: 0.19934
Episode 231 | Total reward: -200.44 | Epsilon: 0.19934
Episode 232 | Total reward: -200.32 | Epsilon: 0.19934
Episode 233 | Total reward: -200.28 | Epsilon: 0.19933
Episode 234 | Total reward: -200.33 | Epsilon: 0.19933
Episode 235 | Total reward: -200.3 | Epsilon: 0.19933
Episode 236 | Total reward: -1.8940625000000002 | Epsilon: 0.19933
Episode 237 | Total reward: -200.4 | Epsilon: 0.19932
Episode 238 | Total reward: -200.33 | Epsilon: 0.19932
Episode 239 | Total reward: -200.28 | Epsilon: 0.19932
Episode 240 | Total reward: -200.4 | Epsilon: 0.19932
Episode 241 | Total reward: -200.31 | Epsilon: 0.19932
Episode 242 | Total reward: -200.28 | Epsilon: 0.19931
