No model found.
Episode 211 | Total reward: 37 | Epsilon: 0.09719
Episode 212 | Total reward: 33 | Epsilon: 0.09718
Episode 213 | Total reward: 37 | Epsilon: 0.09716
Episode 214 | Total reward: 38 | Epsilon: 0.09714
Episode 215 | Total reward: 21 | Epsilon: 0.09713
Episode 216 | Total reward: 20 | Epsilon: 0.09712
Episode 217 | Total reward: 38 | Epsilon: 0.09711
Episode 218 | Total reward: 38 | Epsilon: 0.09709
Episode 219 | Total reward: 38 | Epsilon: 0.09708
Episode 220 | Total reward: 48 | Epsilon: 0.09706
Episode 221 | Total reward: 49 | Epsilon: 0.09704
Episode 222 | Total reward: 37 | Epsilon: 0.09702
Episode 223 | Total reward: 38 | Epsilon: 0.09701
Episode 224 | Total reward: 27 | Epsilon: 0.09699
Episode 225 | Total reward: 38 | Epsilon: 0.09698
Episode 226 | Total reward: 38 | Epsilon: 0.09696
Episode 227 | Total reward: 38 | Epsilon: 0.09695
Episode 228 | Total reward: 40 | Epsilon: 0.09693
Episode 229 | Total reward: 32 | Epsilon: 0.09692
Episode 230 | Total reward: 29 | Epsilon: 0.09690
Episode 231 | Total reward: 38 | Epsilon: 0.09689
Episode 232 | Total reward: 38 | Epsilon: 0.09687
Episode 233 | Total reward: 38 | Epsilon: 0.09686
Episode 234 | Total reward: 38 | Epsilon: 0.09684
Episode 235 | Total reward: 38 | Epsilon: 0.09682
Episode 236 | Total reward: 38 | Epsilon: 0.09681
Episode 237 | Total reward: 44 | Epsilon: 0.09679
Episode 238 | Total reward: 31 | Epsilon: 0.09678
Episode 239 | Total reward: 47 | Epsilon: 0.09676
Episode 240 | Total reward: 29 | Epsilon: 0.09675
Episode 241 | Total reward: 38 | Epsilon: 0.09673
Episode 242 | Total reward: 51 | Epsilon: 0.09671
Episode 243 | Total reward: 38 | Epsilon: 0.09669
Episode 244 | Total reward: 38 | Epsilon: 0.09668
Saved model at step 10200
Episode 245 | Total reward: 45 | Epsilon: 0.09666
Episode 246 | Total reward: 38 | Epsilon: 0.09664
